Date,Block,Primary Type,Location Description,District
06/13/2019 09:00:00 AM,W MADISON ST,ASSAULT,GROCERY FOOD STORE,Near West District
06/13/2019 09:00:00 AM,W MADISON ST,THEFT,VEHICLE NON-COMMERCIAL,Austin District
06/13/2019 08:35:00 AM,W 109TH PL,CRIMINAL DAMAGE,STREET,Calumet District
06/13/2019 08:30:00 AM,W HARRISON ST,ASSAULT,GAS STATION,Harrison District
06/13/2019 08:00:00 AM,S KOLIN AVE,OFFENSE INVOLVING CHILDREN,APARTMENT,Ogden District
06/13/2019 08:00:00 AM,E ROOSEVELT RD,CRIMINAL DAMAGE,SMALL RETAIL STORE,Central District
06/13/2019 07:45:00 AM,S MERRILL AVE,MOTOR VEHICLE THEFT,STREET,Grand Crossing District
06/13/2019 07:30:00 AM,E MARQUETTE RD,BURGLARY,APARTMENT,Grand Crossing District
06/13/2019 07:00:00 AM,N ARTESIAN AVE,THEFT,STREET,Town Hall District
06/13/2019 06:30:00 AM,N WOLCOTT AVE,CRIMINAL DAMAGE,DRIVEWAY - RESIDENTIAL,Town Hall District
06/13/2019 06:12:00 AM,S HARVARD AVE,ASSAULT,APARTMENT,Gresham District
06/13/2019 05:30:00 AM,W HARRISON ST,THEFT,OTHER,Central District
06/13/2019 04:24:00 AM,S EGGLESTON AVE,BATTERY,RESIDENCE,Morgan Park District
06/13/2019 04:00:00 AM,S PERRY AVE,MOTOR VEHICLE THEFT,STREET,Englewood District
06/13/2019 03:00:00 AM,E 122ND PL,BATTERY,RESIDENCE,Calumet District
06/13/2019 02:40:00 AM,N PAULINA ST,CRIMINAL TRESPASS,APARTMENT,Town Hall District
06/13/2019 02:26:00 AM,S OGLESBY AVE,BATTERY,APARTMENT,Grand Crossing District
06/13/2019 02:00:00 AM,N LINCOLN AVE,THEFT,PARKING LOT/GARAGE(NON.RESID.),Lincoln District
06/13/2019 01:52:00 AM,S STONY ISLAND AVE,OTHER OFFENSE,STREET,South Chicago District
06/13/2019 01:30:00 AM,N ORLEANS ST,THEFT,BAR OR TAVERN,Near North District
06/13/2019 01:05:00 AM,N CLARK ST,THEFT,CONVENIENCE STORE,Near North District
06/13/2019 12:55:00 AM,E 32ND ST,OTHER OFFENSE,APARTMENT,Wentworth District
06/13/2019 12:30:00 AM,S WENTWORTH AVE,ASSAULT,RESIDENCE,Calumet District
06/13/2019 12:15:00 AM,W FULLERTON AVE,HOMICIDE,RETAIL STORE,Grand Central District
06/13/2019 12:01:00 AM,N LARAMIE AVE,THEFT,RESIDENCE PORCH/HALLWAY,Austin District
06/13/2019 12:00:00 AM,S ELLIS AVE,THEFT,RESIDENTIAL YARD (FRONT/BACK),Grand Crossing District
06-12-2019 23:48,N DESPLAINES ST,THEFT,GROCERY FOOD STORE,Near West District
06-12-2019 23:30,E 86TH PL,BURGLARY,OTHER,South Chicago District
06-12-2019 23:02,E 95TH ST,THEFT,GAS STATION,South Chicago District
06-12-2019 23:00,S DOBSON AVE,BATTERY,APARTMENT,Gresham District
06-12-2019 22:35,E 93RD ST,NARCOTICS,STREET,South Chicago District
06-12-2019 22:30,E 67TH ST,INTERFERENCE WITH PUBLIC OFFICER,VEHICLE NON-COMMERCIAL,Grand Crossing District
06-12-2019 22:25,E 87TH ST,NARCOTICS,STREET,South Chicago District
06-12-2019 22:20,S ANTHONY AVE,CRIMINAL DAMAGE,RESIDENCE,South Chicago District
06-12-2019 22:00,N LOCKWOOD AVE,MOTOR VEHICLE THEFT,STREET,Austin District
06-12-2019 22:00,S INDIANA AVE,MOTOR VEHICLE THEFT,STREET,Grand Crossing District
06-12-2019 21:45,N Milwaukee Ave,THEFT,APARTMENT,Shakespeare District
06-12-2019 21:30,W LAKE ST,BATTERY,CTA TRAIN,Central District
06-12-2019 21:15,N ELSTON AVE,OTHER OFFENSE,APARTMENT,Jefferson Park District
06-12-2019 21:00,S MOZART ST,BATTERY,RESIDENCE,Chicago Lawn District
06-12-2019 21:00,S CRANDON AVE,BATTERY,APARTMENT,Grand Crossing District
06-12-2019 20:39,N MILWAUKEE AVE,THEFT,STREET,Shakespeare District
06-12-2019 20:25,W FARGO AVE,MOTOR VEHICLE THEFT,RESIDENCE-GARAGE,Rogers Park District
06-12-2019 20:15,S HAMLIN AVE,THEFT,APARTMENT,Ogden District
06-12-2019 20:05,N MOODY AVE,DECEPTIVE PRACTICE,RESIDENCE,Jefferson Park District
06-12-2019 20:00,W DEVON AVE,INTERFERENCE WITH PUBLIC OFFICER,STREET,Rogers Park District
06-12-2019 19:49,W JACKSON BLVD,CRIMINAL TRESPASS,GAS STATION,Austin District
06-12-2019 19:30,N WABASH AVE,BATTERY,SIDEWALK,Central District
06-12-2019 19:18,S CLARK ST,DECEPTIVE PRACTICE,RESTAURANT,Central District
06-12-2019 19:00,N AVERS AVE,OTHER OFFENSE,OTHER,Harrison District
06-12-2019 19:00,W WARNER AVE,OTHER OFFENSE,APARTMENT,Town Hall District
06-12-2019 18:50,E 76TH ST,BATTERY,ALLEY,Gresham District
06-12-2019 18:34,W THOMAS ST,NARCOTICS,ALLEY,Harrison District
06-12-2019 18:30,N KEYSTONE AVE,NARCOTICS,STREET,Harrison District
06-12-2019 18:25,N FRANCISCO AVE,NARCOTICS,SIDEWALK,Near West District
06-12-2019 18:12,W MADISON ST,THEFT,SIDEWALK,Central District
06-12-2019 18:04,W 105TH ST,BATTERY,ALLEY,Calumet District
06-12-2019 18:00,S HOYNE AVE,BATTERY,STREET,Englewood District
06-12-2019 17:57,S DR MARTIN LUTHER KING JR DR,BATTERY,APARTMENT,Grand Crossing District
06-12-2019 17:45,N KEDZIE BLVD,THEFT,STREET,Shakespeare District
06-12-2019 17:40,W WILCOX ST,NARCOTICS,SIDEWALK,Harrison District
06-12-2019 17:30,E 67TH ST,STALKING,APARTMENT,Grand Crossing District
06-12-2019 17:20,N DAWSON AVE,DECEPTIVE PRACTICE,OTHER,Shakespeare District
06-12-2019 17:10,W WEST END AVE,BATTERY,RESIDENCE,Harrison District
06-12-2019 17:00,W MADISON ST,THEFT,SIDEWALK,Austin District
06-12-2019 17:00,W HADDON AVE,THEFT,RESIDENTIAL YARD (FRONT/BACK),Near West District
06-12-2019 16:50,S CICERO AVE,OTHER OFFENSE,STREET,Chicago Lawn District
06-12-2019 16:40,W Higgins Rd,THEFT,AIRPORT PARKING LOT,Jefferson Park District
06-12-2019 16:30,S VERNON AVE,BATTERY,APARTMENT,Gresham District
06-12-2019 16:25,S STONY ISLAND AVE,BATTERY,STREET,Grand Crossing District
06-12-2019 16:15,W LE MOYNE ST,THEFT,STREET,Shakespeare District
06-12-2019 16:00,N CLARK ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),Lincoln District
06-12-2019 16:00,S WOOD ST,BATTERY,SIDEWALK,Englewood District
06-12-2019 16:00,S VINCENNES AVE,BURGLARY,APARTMENT,Wentworth District
06-12-2019 15:47,S PULASKI RD,THEFT,DEPARTMENT STORE,Chicago Lawn District
06-12-2019 15:30,S BUFFALO AVE,BATTERY,SIDEWALK,South Chicago District
06-12-2019 15:20,E 47TH ST,BATTERY,STREET,Wentworth District
06-12-2019 15:14,N WABASH AVE,OTHER OFFENSE,COMMERCIAL / BUSINESS OFFICE,Near North District
06-12-2019 15:00,E 53RD ST,THEFT,OTHER,Wentworth District
06-12-2019 14:57,S BUFFALO AVE,BATTERY,"SCHOOL, PUBLIC, GROUNDS",South Chicago District
06-12-2019 14:43,E 11TH ST,DECEPTIVE PRACTICE,HOTEL/MOTEL,Central District
06-12-2019 14:30,E 67TH ST,BATTERY,STREET,Grand Crossing District
06-12-2019 14:10,W FULTON ST,THEFT,STREET,Near West District
06-12-2019 14:00,W RANDOLPH ST,THEFT,ATHLETIC CLUB,Near West District
06-12-2019 14:00,S CALIFORNIA AVE,THEFT,"SCHOOL, PUBLIC, BUILDING",Deering District
06-12-2019 14:00,N KEDZIE BLVD,THEFT,VEHICLE NON-COMMERCIAL,Shakespeare District
06-12-2019 13:40,W POLK ST,BATTERY,"SCHOOL, PUBLIC, BUILDING",Harrison District
06-12-2019 13:25,W NEWPORT AVE,DECEPTIVE PRACTICE,,Town Hall District
06-12-2019 13:05,S ROCKWELL ST,BATTERY,SIDEWALK,Chicago Lawn District
06-12-2019 13:00,W 98TH PL,THEFT,RESIDENTIAL YARD (FRONT/BACK),Morgan Park District
06-12-2019 12:54,W MADISON ST,NARCOTICS,SIDEWALK,Harrison District
06-12-2019 12:47,N KOSTNER AVE,ASSAULT,APARTMENT,Grand Central District
06-12-2019 12:35,S HERMITAGE AVE,THEFT,STREET,Near West District
06-12-2019 12:30,W ROSCOE ST,ASSAULT,APARTMENT,Town Hall District
06-12-2019 12:25,S WESTERN AVE,THEFT,DEPARTMENT STORE,Deering District
06-12-2019 12:13,S SANGAMON ST,CRIMINAL DAMAGE,RESIDENCE,Englewood District
06-12-2019 12:00,S SOUTH SHORE DR,OFFENSE INVOLVING CHILDREN,SIDEWALK,South Chicago District
06-12-2019 12:00,E 104TH ST,OTHER OFFENSE,APARTMENT,Calumet District
05/26/2019 07:17:00 AM,S MORGAN ST,BATTERY,STREET,Englewood District
05/26/2019 07:00:00 AM,N HOMAN AVE,BATTERY,APARTMENT,Harrison District
05/26/2019 06:40:00 AM,S HOMAN AVE,BATTERY,STREET,Ogden District
05/26/2019 06:25:00 AM,W 48TH ST,PROSTITUTION,SIDEWALK,Chicago Lawn District
05/26/2019 06:05:00 AM,W HARRISON ST,NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),Harrison District
05/26/2019 05:45:00 AM,S KILPATRICK AVE,CRIMINAL DAMAGE,CTA TRAIN,Chicago Lawn District
05/26/2019 05:37:00 AM,N SAYRE AVE,CRIMINAL TRESPASS,RESIDENCE,Jefferson Park District
05/26/2019 05:25:00 AM,S LAWNDALE AVE,BATTERY,NURSING HOME/RETIREMENT HOME,Ogden District
05/26/2019 05:00:00 AM,N MILWAUKEE AVE,ASSAULT,STREET,Shakespeare District
05/26/2019 04:51:00 AM,W WASHINGTON BLVD,ROBBERY,STREET,Harrison District
05/26/2019 04:40:00 AM,S COTTAGE GROVE AVE,BATTERY,PARKING LOT/GARAGE(NON.RESID.),Grand Crossing District
05/26/2019 04:30:00 AM,S LOOMIS BLVD,ASSAULT,STREET,Englewood District
05/26/2019 04:00:00 AM,N ASHLAND BLVD,BATTERY,STREET,Rogers Park District
05/26/2019 03:55:00 AM,W 86TH ST,THEFT,STREET,Gresham District
05/26/2019 03:40:00 AM,W 15TH ST,CRIMINAL TRESPASS,HOSPITAL BUILDING/GROUNDS,Ogden District
05/26/2019 03:30:00 AM,S HONORE ST,BATTERY,RESIDENCE,Deering District
05/26/2019 03:19:00 AM,W CHICAGO AVE,WEAPONS VIOLATION,STREET,Harrison District
05/26/2019 03:12:00 AM,S TROY ST,BATTERY,SIDEWALK,Ogden District
05/26/2019 03:06:00 AM,N HALSTED ST,CRIMINAL DAMAGE,BAR OR TAVERN,Town Hall District
05/26/2019 03:00:00 AM,W ELM ST,ROBBERY,STREET,Near North District
05/26/2019 02:54:00 AM,N HALSTED ST,CRIMINAL DAMAGE,BARBERSHOP,Town Hall District
05/26/2019 02:33:00 AM,N AUSTIN AVE,OTHER OFFENSE,RESIDENCE,Grand Central District
05/26/2019 02:10:00 AM,S EGGLESTON AVE,BATTERY,VEHICLE NON-COMMERCIAL,Calumet District
05/26/2019 02:02:00 AM,N WHIPPLE ST,MOTOR VEHICLE THEFT,STREET,Shakespeare District
05/26/2019 02:00:00 AM,S PRINCETON AVE,BATTERY,GAS STATION,Deering District
05/26/2019 01:50:00 AM,W WILSON AVE,BATTERY,CTA GARAGE / OTHER PROPERTY,Town Hall District
05/26/2019 01:30:00 AM,S JEFFERY BLVD,ROBBERY,CTA BUS STOP,Grand Crossing District
05/26/2019 01:21:00 AM,W 22ND PL,BATTERY,SIDEWALK,Ogden District
05/26/2019 01:10:00 AM,S MAY ST,BATTERY,SIDEWALK,Near West District
05/26/2019 01:00:00 AM,S WOODLAWN AVE,MOTOR VEHICLE THEFT,STREET,Calumet District
05/26/2019 01:00:00 AM,S MARSHFIELD AVE,BATTERY,STREET,Englewood District
05/26/2019 12:52:00 AM,S SAWYER AVE,WEAPONS VIOLATION,SIDEWALK,Ogden District
05/26/2019 12:45:00 AM,S BURLEY AVE,BATTERY,RESIDENCE,South Chicago District
05/26/2019 12:40:00 AM,N WINTHROP AVE,BATTERY,APARTMENT,Lincoln District
05/26/2019 12:30:00 AM,S KILDARE AVE,ASSAULT,SIDEWALK,Chicago Lawn District
05/26/2019 12:27:00 AM,S ST LAWRENCE AVE,OTHER OFFENSE,RESIDENCE,Grand Crossing District
05/26/2019 12:13:00 AM,N BROADWAY,BATTERY,SIDEWALK,Town Hall District
05/26/2019 12:04:00 AM,E 93RD ST,WEAPONS VIOLATION,VEHICLE NON-COMMERCIAL,South Chicago District
05/26/2019 12:01:00 AM,S NEW ENGLAND AVE,CRIMINAL DAMAGE,STREET,Chicago Lawn District
05/26/2019 12:00:00 AM,W 76TH ST,BATTERY,RESIDENCE,Gresham District
05/26/2019 12:00:00 AM,S LAVERGNE AVE,BATTERY,APARTMENT,Austin District
05/25/2019 11:45:00 PM,W POTOMAC AVE,MOTOR VEHICLE THEFT,STREET,Grand Central District
05/25/2019 11:37:00 PM,W GLADYS AVE,NARCOTICS,STREET,Austin District
05/25/2019 11:30:00 PM,S STATE ST,BATTERY,APARTMENT,Central District
05/25/2019 11:22:00 PM,N HASKINS AVE,CRIMINAL DAMAGE,CTA TRAIN,Rogers Park District
05/25/2019 11:10:00 PM,E 133RD ST,BATTERY,CHA APARTMENT,Calumet District
05/25/2019 11:00:00 PM,S WINCHESTER AVE,MOTOR VEHICLE THEFT,STREET,Gresham District
05/25/2019 11:00:00 PM,N CALIFORNIA AVE,MOTOR VEHICLE THEFT,STREET,Near West District
05/25/2019 11:00:00 PM,N BERNARD ST,OTHER OFFENSE,APARTMENT,Albany Park District
05/25/2019 10:45:00 PM,N CLARK ST,THEFT,CONVENIENCE STORE,Near North District
05/25/2019 10:36:00 PM,W MADISON ST,CRIMINAL TRESPASS,PARKING LOT/GARAGE(NON.RESID.),Harrison District
05/25/2019 10:30:00 PM,W WASHINGTON BLVD,BATTERY,RESIDENCE,Austin District
05/25/2019 10:30:00 PM,N SAWYER AVE,CRIMINAL DAMAGE,STREET,Shakespeare District
05/25/2019 10:16:00 PM,S MARSHFIELD AVE,WEAPONS VIOLATION,STREET,Englewood District
05/25/2019 10:07:00 PM,N LONG AVE,ASSAULT,APARTMENT,Austin District
05/25/2019 10:00:00 PM,S MACKINAW AVE,OTHER OFFENSE,APARTMENT,South Chicago District
05/25/2019 10:00:00 PM,W CORTEZ ST,THEFT,RESIDENCE,Harrison District
05/25/2019 09:50:00 PM,W HUBBARD ST,BATTERY,SIDEWALK,Near North District
05/25/2019 09:38:00 PM,S LAFLIN ST,WEAPONS VIOLATION,VACANT LOT/LAND,Englewood District
05/25/2019 09:30:00 PM,S STONY ISLAND AVE,ASSAULT,PARKING LOT/GARAGE(NON.RESID.),South Chicago District
05/25/2019 09:20:00 PM,E 73RD ST,OTHER OFFENSE,RESIDENCE,Grand Crossing District
05/25/2019 09:19:00 PM,N HAMLIN AVE,INTERFERENCE WITH PUBLIC OFFICER,STREET,Harrison District
05/25/2019 09:12:00 PM,S STATE ST,DECEPTIVE PRACTICE,DEPARTMENT STORE,Central District
05/25/2019 09:00:00 PM,W 76TH ST,BATTERY,RESIDENCE,Gresham District
05/25/2019 09:00:00 PM,S LA SALLE ST,THEFT,STREET,Calumet District
05/25/2019 08:50:00 PM,W MADISON ST,CRIMINAL TRESPASS,DRUG STORE,Near West District
05/25/2019 08:40:00 PM,W Waveland Ave,THEFT,RESTAURANT,Town Hall District
05/25/2019 08:30:00 PM,W ARTHUR AVE,BATTERY,RESIDENCE,Rogers Park District
05/25/2019 08:24:00 PM,S ELIZABETH ST,CRIMINAL DAMAGE,RESIDENCE,Englewood District
05/25/2019 08:10:00 PM,S HARVARD AVE,WEAPONS VIOLATION,VEHICLE NON-COMMERCIAL,Englewood District
05/25/2019 08:00:00 PM,S WABASH AVE,CRIMINAL DAMAGE,STREET,Grand Crossing District
05/25/2019 07:51:00 PM,S KILBOURN AVE,PROSTITUTION,STREET,Harrison District
05/25/2019 07:39:00 PM,N SHERIDAN RD,CRIMINAL DAMAGE,"SCHOOL, PRIVATE, BUILDING",Rogers Park District
05/25/2019 07:30:00 PM,W JACKSON BLVD,PROSTITUTION,STREET,Harrison District
05/25/2019 07:30:00 PM,N WINTHROP AVE,BATTERY,APARTMENT,Lincoln District
05/25/2019 07:20:00 PM,N LARAMIE AVE,BATTERY,SIDEWALK,Austin District
05/25/2019 07:09:00 PM,S SPRINGFIELD AVE,NARCOTICS,STREET,Harrison District
05/25/2019 07:00:00 PM,S MERRILL AVE,ROBBERY,SIDEWALK,South Chicago District
05/25/2019 07:00:00 PM,N SPAULDING AVE,OTHER OFFENSE,RESIDENCE,Shakespeare District
05/25/2019 06:53:00 PM,E CHICAGO AVE,BATTERY,SIDEWALK,Near North District
05/25/2019 06:48:00 PM,W MADISON ST,PROSTITUTION,STREET,Harrison District
05/25/2019 06:40:00 PM,W 47TH ST,THEFT,SMALL RETAIL STORE,Chicago Lawn District
05/25/2019 06:34:00 PM,W WINONA ST,BATTERY,ALLEY,Lincoln District
05/25/2019 06:30:00 PM,W GEORGE ST,CRIMINAL DAMAGE,STREET,Grand Central District
05/25/2019 06:16:00 PM,S WABASH AVE,CRIMINAL TRESPASS,RESIDENTIAL YARD (FRONT/BACK),Gresham District
05/25/2019 06:03:00 PM,S DREXEL AVE,BATTERY,RESIDENCE,Gresham District
05/25/2019 06:00:00 PM,S EMERALD AVE,THEFT,STREET,Near West District
05/25/2019 06:00:00 PM,W OHIO ST,CRIMINAL DAMAGE,RESIDENTIAL YARD (FRONT/BACK),Near West District
05/25/2019 06:00:00 PM,W CATALPA AVE,THEFT,STREET,Lincoln District
05/25/2019 05:45:00 PM,S LAKE PARK AVE,OFFENSE INVOLVING CHILDREN,RESIDENCE,Wentworth District
05/25/2019 05:40:00 PM,N ARTESIAN AVE,CRIMINAL TRESPASS,STREET,Rogers Park District
05/25/2019 05:30:00 PM,S STONY ISLAND AVE,THEFT,OTHER,Grand Crossing District
05/25/2019 05:27:00 PM,S AVENUE G,BATTERY,PARK PROPERTY,South Chicago District
05/25/2019 05:15:00 PM,N STOCKTON DR,BURGLARY,PARK PROPERTY,Near North District
05/25/2019 05:04:00 PM,S WENTWORTH AVE,BATTERY,OTHER,Deering District
05/25/2019 05:00:00 PM,W LAWRENCE AVE,DECEPTIVE PRACTICE,APARTMENT,Jefferson Park District
05/25/2019 05:00:00 PM,W 119TH ST,THEFT,PARK PROPERTY,Calumet District
05/25/2019 04:36:00 PM,N HALSTED ST,BATTERY,CONVENIENCE STORE,Near North District
05/25/2019 04:30:00 PM,S STONY ISLAND AVE,THEFT,STREET,South Chicago District
05/25/2019 04:22:00 PM,W ARTHINGTON ST,BATTERY,APARTMENT,Harrison District
05/25/2019 04:11:00 PM,N WESTERN AVE,WEAPONS VIOLATION,SIDEWALK,Near West District
05/25/2019 04:00:00 PM,N SHEFFIELD AVE,THEFT,BAR OR TAVERN,Town Hall District
05/25/2019 04:00:00 PM,W GARFIELD BLVD,THEFT,RESIDENCE,Deering District
05/25/2019 03:40:00 PM,E 70TH ST,THEFT,RESIDENTIAL YARD (FRONT/BACK),Grand Crossing District
05/25/2019 03:30:00 PM,E MONROE ST,THEFT,HOTEL/MOTEL,Central District
05/25/2019 03:25:00 PM,S ST LAWRENCE AVE,BATTERY,RESIDENCE,Grand Crossing District
05/25/2019 03:10:00 PM,W NORTH AVE,THEFT,STREET,Shakespeare District
05/25/2019 03:00:00 PM,N LECLAIRE AVE,CRIMINAL DAMAGE,STREET,Austin District
05/25/2019 03:00:00 PM,N SPAULDING AVE,ASSAULT,APARTMENT,Shakespeare District
05/25/2019 03:00:00 PM,S MOBILE AVE,CRIMINAL TRESPASS,STREET,Chicago Lawn District
05/25/2019 02:45:00 PM,E RANDOLPH ST,MOTOR VEHICLE THEFT,APARTMENT,Central District
05/25/2019 02:30:00 PM,E DELAWARE PL,SEX OFFENSE,OTHER,Near North District
05/25/2019 02:27:00 PM,S KEDZIE AVE,ASSAULT,STREET,Chicago Lawn District
05/25/2019 02:10:00 PM,S DR MARTIN LUTHER KING JR DR,BATTERY,VEHICLE NON-COMMERCIAL,Central District
05/25/2019 02:00:00 PM,S CALIFORNIA AVE,BATTERY,RESIDENCE-GARAGE,Harrison District
05/25/2019 02:00:00 PM,S GREEN ST,BURGLARY,APARTMENT,Englewood District
05/25/2019 02:00:00 PM,N STATE ST,DECEPTIVE PRACTICE,DEPARTMENT STORE,Central District
05/25/2019 01:50:00 PM,S COLES AVE,ASSAULT,SIDEWALK,South Chicago District
05/25/2019 01:33:00 PM,W 64TH ST,OTHER OFFENSE,STREET,Englewood District
05/25/2019 01:21:00 PM,S COTTAGE GROVE AVE,DECEPTIVE PRACTICE,SIDEWALK,Grand Crossing District
05/25/2019 01:15:00 PM,W NORTH AVE,THEFT,SIDEWALK,Shakespeare District
05/25/2019 01:00:00 PM,W LAKE ST,DECEPTIVE PRACTICE,OTHER,Near West District
05/25/2019 01:00:00 PM,W 95TH ST,DECEPTIVE PRACTICE,BARBERSHOP,Morgan Park District
05/25/2019 01:00:00 PM,N KENMORE AVE,BATTERY,RESIDENCE,Lincoln District
05/25/2019 12:45:00 PM,N BROADWAY,THEFT,GROCERY FOOD STORE,Town Hall District
05/25/2019 12:30:00 PM,S WENTWORTH AVE,OTHER OFFENSE,RESIDENCE,Calumet District
05/25/2019 12:28:00 PM,S LANGLEY AVE,CRIMINAL TRESPASS,CHA PARKING LOT/GROUNDS,Calumet District
05/25/2019 12:10:00 PM,W 103RD ST,ASSAULT,SIDEWALK,Morgan Park District
05/25/2019 12:00:00 PM,S CALUMET AVE,ASSAULT,RESIDENCE,Gresham District
05/25/2019 12:00:00 PM,N MARSHFIELD AVE,DECEPTIVE PRACTICE,RESIDENCE,Town Hall District
05/25/2019 11:36:00 AM,W WASHINGTON BLVD,CRIMINAL DAMAGE,RESIDENCE,Harrison District
05/25/2019 11:28:00 AM,S PEORIA ST,BATTERY,STREET,Morgan Park District
05/25/2019 11:19:00 AM,S RHODES AVE,THEFT,APARTMENT,Wentworth District
05/25/2019 11:00:00 AM,S COLUMBUS DR,THEFT,PARK PROPERTY,Central District
04-08-2019 16:32,E 100TH ST,ASSAULT,SIDEWALK,South Chicago District
04-08-2019 16:20,W MONTROSE AVE,OTHER OFFENSE,OTHER,Jefferson Park District
04-08-2019 16:11,S STATE ST,BATTERY,STREET,Central District
04-08-2019 16:00,E 100TH ST,ASSAULT,LIBRARY,South Chicago District
04-08-2019 16:00,S WENTWORTH AVE,MOTOR VEHICLE THEFT,STREET,Englewood District
04-08-2019 15:50,S EXCHANGE AVE,NARCOTICS,SIDEWALK,South Chicago District
04-08-2019 15:30,W HENDERSON ST,THEFT,SIDEWALK,Albany Park District
04-08-2019 15:30,W 51ST ST,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),Deering District
04-08-2019 15:26,S DREXEL AVE,CRIMINAL DAMAGE,APARTMENT,Gresham District
04-08-2019 15:21,W HUBBARD ST,NARCOTICS,SIDEWALK,Austin District
04-08-2019 15:10,W ZEMKE RD,MOTOR VEHICLE THEFT,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,Jefferson Park District
04-08-2019 15:00,W RANDOLPH ST,DECEPTIVE PRACTICE,OTHER,Central District
04-08-2019 14:56,W HARRISON ST,BATTERY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,Harrison District
04-08-2019 14:39,E 87TH ST,ROBBERY,RESTAURANT,Gresham District
04-08-2019 14:30,S ASHLAND AVE,ASSAULT,STREET,Gresham District
04-08-2019 14:19,W JACKSON BLVD,OFFENSE INVOLVING CHILDREN,APARTMENT,Harrison District
04-08-2019 14:00,W ADAMS ST,DECEPTIVE PRACTICE,RESIDENCE,Harrison District
04-08-2019 14:00,S WABASH AVE,OTHER OFFENSE,NURSING HOME/RETIREMENT HOME,Wentworth District
04-08-2019 13:48,E WACKER DR,CRIMINAL DAMAGE,SIDEWALK,Central District
04-08-2019 13:30,E 80TH ST,CRIMINAL DAMAGE,STREET,Gresham District
04-08-2019 13:30,N LA SALLE ST,DECEPTIVE PRACTICE,RESTAURANT,Central District
04-08-2019 13:17,S JEFFERY BLVD,NARCOTICS,ALLEY,Grand Crossing District
04-08-2019 13:05,S PERRY AVE,BATTERY,RESIDENCE,Gresham District
04-08-2019 13:00,E 121ST PL,CRIMINAL DAMAGE,STREET,Calumet District
04-08-2019 13:00,N CENTRAL AVE,BATTERY,OTHER,Austin District
04-08-2019 12:48,S CANAL ST,THEFT,DEPARTMENT STORE,Central District
04-08-2019 12:40,W FARGO AVE,BURGLARY,APARTMENT,Rogers Park District
04-08-2019 12:30,S MERRILL AVE,NARCOTICS,APARTMENT,Grand Crossing District
04-08-2019 12:29,E 111TH ST,OTHER OFFENSE,RESIDENCE,Calumet District
04-08-2019 12:15,S SPRINGFIELD AVE,NARCOTICS,SIDEWALK,Harrison District
04-08-2019 12:05,E 133RD ST,CRIMINAL TRESPASS,CHA PARKING LOT/GROUNDS,Calumet District
04-08-2019 12:00,S UNION AVE,ASSAULT,"SCHOOL, PRIVATE, BUILDING",Deering District
04-08-2019 12:00,S CALIFORNIA AVE,CRIMINAL DAMAGE,APARTMENT,Ogden District
04-08-2019 11:45,S STATE ST,THEFT,CTA TRAIN,Central District
04-08-2019 11:30,N SAWYER AVE,MOTOR VEHICLE THEFT,STREET,Shakespeare District
04-08-2019 11:25,W CHICAGO AVE,OTHER OFFENSE,STREET,Harrison District
04-08-2019 11:10,S RACINE AVE,DECEPTIVE PRACTICE,,Morgan Park District
04-08-2019 11:00,S TROY ST,ASSAULT,STREET,Ogden District
04-08-2019 11:00,S MILLARD AVE,THEFT,SIDEWALK,Ogden District
04-08-2019 10:45,W WACKER DR,ASSAULT,STREET,Central District
04-08-2019 10:30,S DR MARTIN LUTHER KING JR DR,THEFT,CTA BUS STOP,Grand Crossing District
04-08-2019 10:30,W 80TH PL,THEFT,RESIDENCE,Chicago Lawn District
04-08-2019 10:07,S PAULINA ST,NARCOTICS,APARTMENT,Deering District
04-08-2019 10:00,S WOODLAWN AVE,THEFT,STREET,Wentworth District
04-08-2019 10:00,S CICERO AVE,ASSAULT,STREET,Chicago Lawn District
04-08-2019 09:45,S COTTAGE GROVE AVE,OTHER OFFENSE,CURRENCY EXCHANGE,Wentworth District
04-08-2019 09:30,S CAMPBELL AVE,ASSAULT,RESIDENCE PORCH/HALLWAY,Chicago Lawn District
04-08-2019 09:20,E 103RD ST,CRIMINAL DAMAGE,RESTAURANT,Calumet District
04-08-2019 09:00,N PINE GROVE AVE,THEFT,STREET,Town Hall District
04-08-2019 09:00,W ZEMKE RD,DECEPTIVE PRACTICE,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,Jefferson Park District
04-08-2019 09:00,W MONTROSE AVE,THEFT,RESIDENCE,Town Hall District
04-08-2019 09:00,W WABANSIA AVE,NARCOTICS,"SCHOOL, PUBLIC, BUILDING",Shakespeare District
04-08-2019 08:59,W GRAND AVE,NARCOTICS,GAS STATION,Harrison District
04-08-2019 08:50,S MARYLAND AVE,BATTERY,APARTMENT,Gresham District
04-08-2019 08:30,S INDEPENDENCE BLVD,CRIMINAL DAMAGE,APARTMENT,Ogden District
04-08-2019 08:05,S WALLACE ST,THEFT,RESIDENCE,Morgan Park District
04-08-2019 07:58,W 76TH ST,BATTERY,APARTMENT,Gresham District
