Date,Block,Primary Type,Location Description,District
08/27/2019 02:00:00 PM,W EVERGREEN AVE,THEFT,STREET,Shakespeare District
08/27/2019 02:00:00 PM,N CENTRAL AVE,THEFT,RESIDENCE PORCH/HALLWAY,Austin District
08/27/2019 01:47:00 PM,N MICHIGAN AVE,THEFT,SMALL RETAIL STORE,Near North District
08/27/2019 01:25:00 PM,S RACINE AVE,WEAPONS VIOLATION,STREET,Gresham District
08/27/2019 01:13:00 PM,N ELIZABETH ST,DECEPTIVE PRACTICE,BANK,Near West District
08/27/2019 01:05:00 PM,E CHICAGO AVE,DECEPTIVE PRACTICE,OTHER,Near North District
08/27/2019 12:49:00 PM,S SPRINGFIELD AVE,ASSAULT,RESIDENCE,Ogden District
08/27/2019 12:40:00 PM,N OAK PARK AVE,THEFT,"SCHOOL, PUBLIC, GROUNDS",Jefferson Park District
08/27/2019 12:30:00 PM,W EDDY ST,BURGLARY,RESIDENCE,Town Hall District
08/27/2019 12:24:00 PM,S CLARK ST,ASSAULT,RESIDENCE,Central District
08/27/2019 12:15:00 PM,S DREXEL AVE,BATTERY,SIDEWALK,Calumet District
08/27/2019 12:05:00 PM,N LEAVITT ST,BATTERY,STREET,Town Hall District
08/27/2019 12:00:00 PM,E ohio st,THEFT,RESTAURANT,Near North District
08/27/2019 12:00:00 PM,S TALMAN AVE,DECEPTIVE PRACTICE,APARTMENT,Chicago Lawn District
08/27/2019 11:55:00 AM,S MILLARD AVE,DECEPTIVE PRACTICE,SIDEWALK,Ogden District
08/27/2019 11:44:00 AM,S COTTAGE GROVE AVE,BATTERY,STREET,Grand Crossing District
08/27/2019 11:30:00 AM,N ASHLAND AVE,BATTERY,APARTMENT,Shakespeare District
08/27/2019 11:20:00 AM,S STATE ST,THEFT,SMALL RETAIL STORE,Central District
08/27/2019 11:07:00 AM,E 32ND ST,ASSAULT,NURSING HOME/RETIREMENT HOME,Wentworth District
08/27/2019 11:00:00 AM,N LONG AVE,CRIMINAL DAMAGE,APARTMENT,Austin District
08/27/2019 10:40:00 AM,W 66TH ST,BATTERY,SIDEWALK,Englewood District
08/27/2019 10:30:00 AM,W GARFIELD BLVD,THEFT,CTA STATION,Englewood District
08/27/2019 10:15:00 AM,N SHERIDAN RD,THEFT,SIDEWALK,Lincoln District
08/27/2019 10:00:00 AM,W WASHINGTON BLVD,OTHER OFFENSE,APARTMENT,Austin District
08/27/2019 10:00:00 AM,E 73RD ST,BATTERY,APARTMENT,Grand Crossing District
08/27/2019 09:45:00 AM,S TRUMBULL AVE,BURGLARY,RESIDENCE,Chicago Lawn District
08/27/2019 09:38:00 AM,S CENTRAL PARK AVE,NARCOTICS,STREET,Ogden District
08/27/2019 09:30:00 AM,W KINZIE ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),Near West District
08/27/2019 09:03:00 AM,W MONTROSE AVE,SEX OFFENSE,CTA TRAIN,Albany Park District
08/27/2019 09:00:00 AM,S DAMEN AVE,MOTOR VEHICLE THEFT,STREET,Deering District
08/27/2019 08:45:00 AM,W GRAND AVE,THEFT,SIDEWALK,Grand Central District
08/27/2019 08:38:00 AM,N LAKE SHORE DR SB,ASSAULT,OTHER,Town Hall District
08/27/2019 08:17:00 AM,N STATE ST,THEFT,SIDEWALK,Near North District
08/27/2019 08:00:00 AM,S LOREL AVE,MOTOR VEHICLE THEFT,STREET,Chicago Lawn District
08/27/2019 07:55:00 AM,N SACRAMENTO BLVD,BATTERY,APARTMENT,Near West District
08/27/2019 07:30:00 AM,W BARRY AVE,CRIMINAL DAMAGE,STREET,Town Hall District
08/27/2019 07:00:00 AM,S LA SALLE ST,MOTOR VEHICLE THEFT,STREET,Wentworth District
08/27/2019 06:30:00 AM,N PARKSIDE AVE,ROBBERY,SIDEWALK,Austin District
08/27/2019 06:00:00 AM,W 87TH ST,THEFT,CTA TRAIN,Gresham District
08/27/2019 05:40:00 AM,S UNION AVE,CRIMINAL DAMAGE,RESIDENCE,Morgan Park District
08/27/2019 05:15:00 AM,W ERIE ST,BATTERY,RESIDENCE,Near West District
08/27/2019 05:00:00 AM,S EMERALD AVE,THEFT,STREET,Morgan Park District
08/27/2019 04:30:00 AM,S PULASKI RD,BATTERY,RESIDENCE,Chicago Lawn District
08/27/2019 04:03:00 AM,S SPRINGFIELD AVE,SEX OFFENSE,RESIDENCE,Chicago Lawn District
08/27/2019 03:37:00 AM,W AUGUSTA BLVD,BATTERY,APARTMENT,Near West District
08/27/2019 03:16:00 AM,N HAMILTON AVE,BURGLARY,RESIDENCE PORCH/HALLWAY,Town Hall District
08/27/2019 02:40:00 AM,S KOSTNER AVE,ROBBERY,SIDEWALK,Chicago Lawn District
08/27/2019 02:21:00 AM,N ST LOUIS AVE,INTERFERENCE WITH PUBLIC OFFICER,STREET,Shakespeare District
08/27/2019 01:38:00 AM,S RICHMOND ST,CRIMINAL DAMAGE,RESIDENCE,Chicago Lawn District
08/27/2019 01:01:00 AM,W FULLERTON AVE,THEFT,DRUG STORE,Grand Central District
08/27/2019 01:00:00 AM,W 59TH ST,THEFT,STREET,Chicago Lawn District
08/27/2019 12:44:00 AM,S WESTERN AVE,CRIMINAL DAMAGE,CTA GARAGE / OTHER PROPERTY,Chicago Lawn District
08/27/2019 12:23:00 AM,E 120TH ST,DECEPTIVE PRACTICE,RESIDENCE,Calumet District
08/27/2019 12:01:00 AM,N CICERO AVE,CRIMINAL DAMAGE,STREET,Jefferson Park District
08/27/2019 12:01:00 AM,W 70TH ST,DECEPTIVE PRACTICE,RESIDENCE,Chicago Lawn District
08/27/2019 12:00:00 AM,S ABERDEEN ST,DECEPTIVE PRACTICE,OTHER,Gresham District
08/27/2019 12:00:00 AM,S PRAIRIE AVE,DECEPTIVE PRACTICE,GAS STATION,Gresham District
08/26/2019 11:55:00 PM,S ELLIS AVE,CRIMINAL DAMAGE,RESIDENCE,Gresham District
08/26/2019 11:30:00 PM,N ASHLAND AVE,THEFT,GROCERY FOOD STORE,Town Hall District
08/26/2019 11:08:00 PM,W BRYN MAWR AVE,BATTERY,STREET,Lincoln District
08/26/2019 11:00:00 PM,S STEWART AVE,THEFT,APARTMENT,Gresham District
08/26/2019 10:55:00 PM,N KEYSTONE AVE,NARCOTICS,SIDEWALK,Grand Central District
08/26/2019 10:45:00 PM,S MACKINAW AVE,ASSAULT,SIDEWALK,South Chicago District
08/26/2019 10:30:00 PM,N SPAULDING AVE,CRIMINAL TRESPASS,STREET,Albany Park District
08/26/2019 10:15:00 PM,S STATE ST,BATTERY,STREET,Central District
08/26/2019 10:00:00 PM,S CARPENTER ST,BATTERY,STREET,Gresham District
08/26/2019 10:00:00 PM,S MICHIGAN AVE,THEFT,STREET,Central District
08/26/2019 09:45:00 PM,E 118TH ST,BATTERY,RESIDENCE,Calumet District
08/26/2019 09:30:00 PM,S KILDARE AVE,MOTOR VEHICLE THEFT,STREET,Ogden District
08/26/2019 09:15:00 PM,S SAWYER AVE,BURGLARY,VEHICLE NON-COMMERCIAL,Ogden District
08/26/2019 09:00:00 PM,W ADAMS ST,ASSAULT,APARTMENT,Harrison District
08/26/2019 09:00:00 PM,S STEWART AVE,THEFT,DRIVEWAY - RESIDENTIAL,Calumet District
