Primary,Census,Count
ASSAULT,284.0,49.0
ASSAULT,285.0,21.0
ASSAULT,286.0,82.0
ASSAULT,287.0,4.0
ASSAULT,288.0,22.0
ASSAULT,289.0,8.0
ASSAULT,290.0,9.0
ASSAULT,291.0,27.0
ASSAULT,292.0,19.0
ASSAULT,293.0,22.0
ASSAULT,294.0,14.0
ASSAULT,295.0,5.0
ASSAULT,296.0,22.0
ASSAULT,297.0,31.0
ASSAULT,298.0,7.0
ASSAULT,299.0,9.0
ASSAULT,300.0,5.0
ASSAULT,301.0,29.0
ASSAULT,302.0,33.0
ASSAULT,303.0,18.0
ASSAULT,304.0,26.0
ASSAULT,305.0,4.0
ASSAULT,306.0,24.0
ASSAULT,307.0,18.0
ASSAULT,308.0,5.0
ASSAULT,309.0,32.0
ASSAULT,310.0,18.0
ASSAULT,311.0,11.0
ASSAULT,312.0,11.0
ASSAULT,314.0,3.0
ASSAULT,315.0,26.0
ASSAULT,316.0,5.0
ASSAULT,317.0,14.0
ASSAULT,318.0,11.0
ASSAULT,319.0,73.0
ASSAULT,320.0,30.0
ASSAULT,321.0,8.0
ASSAULT,322.0,22.0
ASSAULT,323.0,3.0
ASSAULT,324.0,5.0
ASSAULT,325.0,20.0
ASSAULT,326.0,7.0
ASSAULT,327.0,4.0
ASSAULT,328.0,9.0
ASSAULT,329.0,14.0
ASSAULT,330.0,12.0
ASSAULT,331.0,24.0
ASSAULT,332.0,90.0
ASSAULT,333.0,54.0
ASSAULT,335.0,9.0
ASSAULT,336.0,5.0
ASSAULT,337.0,4.0
ASSAULT,338.0,5.0
ASSAULT,339.0,18.0
ASSAULT,340.0,25.0
ASSAULT,341.0,14.0
ASSAULT,342.0,18.0
ASSAULT,343.0,14.0
ASSAULT,344.0,17.0
ASSAULT,345.0,22.0
ASSAULT,346.0,6.0
ASSAULT,347.0,33.0
ASSAULT,348.0,25.0
ASSAULT,349.0,22.0
ASSAULT,350.0,7.0
ASSAULT,351.0,5.0
ASSAULT,352.0,5.0
ASSAULT,353.0,6.0
ASSAULT,354.0,10.0
ASSAULT,355.0,24.0
ASSAULT,356.0,7.0
ASSAULT,357.0,13.0
ASSAULT,358.0,14.0
ASSAULT,359.0,8.0
ASSAULT,360.0,12.0
ASSAULT,361.0,18.0
ASSAULT,362.0,3.0
ASSAULT,363.0,8.0
ASSAULT,364.0,6.0
ASSAULT,365.0,34.0
ASSAULT,366.0,30.0
ASSAULT,367.0,31.0
ASSAULT,368.0,16.0
ASSAULT,369.0,4.0
ASSAULT,370.0,25.0
ASSAULT,371.0,5.0
ASSAULT,372.0,15.0
ASSAULT,373.0,4.0
ASSAULT,374.0,50.0
ASSAULT,375.0,2.0
ASSAULT,376.0,10.0
ASSAULT,377.0,15.0
ASSAULT,378.0,43.0
ASSAULT,379.0,5.0
ASSAULT,380.0,8.0
ASSAULT,381.0,68.0
ASSAULT,382.0,63.0
ASSAULT,383.0,62.0
ASSAULT,384.0,22.0
ASSAULT,385.0,29.0
ASSAULT,386.0,5.0
ASSAULT,387.0,7.0
ASSAULT,388.0,6.0
ASSAULT,389.0,9.0
ASSAULT,390.0,14.0
ASSAULT,391.0,7.0
ASSAULT,392.0,7.0
ASSAULT,393.0,5.0
ASSAULT,394.0,7.0
ASSAULT,395.0,8.0
ASSAULT,396.0,12.0
